City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
125,Avarua,CK,2020-04-07 00:52:28,-21.21,-159.78,84.2,79,75,6.93,broken clouds,0.0,0.0
126,Knysna,ZA,2020-04-07 00:53:39,-34.04,23.05,51.8,57,63,13.87,broken clouds,0.0,0.0
127,Barrow,US,2020-04-07 00:53:39,71.29,-156.79,8.6,78,90,17.22,light snow,0.0,0.0
128,Harlow,GB,2020-04-07 00:53:39,51.78,0.11,48.99,75,3,2.24,clear sky,0.0,0.0
129,Makakilo City,US,2020-04-07 00:53:40,21.35,-158.09,84.2,83,90,9.17,overcast clouds,0.0,0.0
130,Kita,ML,2020-04-07 00:53:40,13.03,-9.49,83.91,13,0,2.44,clear sky,0.0,0.0
131,Ancud,CL,2020-04-07 00:53:40,-41.87,-73.82,42.8,75,47,5.82,scattered clouds,0.0,0.0
132,Chazuta,PE,2020-04-07 00:53:40,-6.57,-76.14,78.33,75,32,0.51,light rain,0.01968503937007874,0.0
133,Tarakan,ID,2020-04-07 00:53:40,3.3,117.63,79.29,78,62,2.98,broken clouds,0.0,0.0
134,Navalmoral De La Mata,ES,2020-04-07 00:53:40,39.89,-5.54,53.01,94,85,4.38,light rain,0.03818897637795276,0.0
135,Gat,IL,2020-04-07 00:53:40,31.61,34.76,61.0,82,40,4.7,scattered clouds,0.0,0.0
136,Yangambi,CD,2020-04-07 00:53:40,0.81,24.43,72.3,84,99,0.74,light rain,0.019291338582677165,0.0
137,Pamekasan,ID,2020-04-07 00:50:16,-7.16,113.47,80.44,81,93,2.73,overcast clouds,0.0,0.0
138,Kabare,CD,2020-04-07 00:53:41,-2.47,28.82,61.65,59,100,0.31,light rain,0.042913385826771656,0.0
139,Lavrentiya,RU,2020-04-07 00:53:41,65.58,-171.0,7.45,83,95,2.53,overcast clouds,0.0,0.0
140,Ust-Karsk,RU,2020-04-07 00:53:41,52.7,118.81,35.6,65,2,3.51,clear sky,0.0,0.0
141,Khatanga,RU,2020-04-07 00:53:41,71.97,102.5,24.28,96,99,4.14,overcast clouds,0.0,0.0
142,Auki,SB,2020-04-07 00:51:45,-8.77,160.7,84.29,73,98,5.68,light rain,0.03582677165354331,0.0
143,Chabahar,IR,2020-04-07 00:53:41,25.29,60.64,77.88,60,69,9.24,broken clouds,0.0,0.0
144,Belawan,ID,2020-04-07 00:53:41,3.78,98.68,77.0,94,40,2.24,scattered clouds,0.0,0.0
145,Abu Kamal,SY,2020-04-07 00:53:41,34.45,40.92,63.55,51,76,8.5,broken clouds,0.0,0.0
146,Trairi,BR,2020-04-07 00:53:42,-3.28,-39.27,80.35,86,82,7.31,light rain,0.007086614173228346,0.0
147,Florianopolis,BR,2020-04-07 00:53:35,-27.61,-48.5,70.0,68,40,4.7,scattered clouds,0.0,0.0
148,Dingle,PH,2020-04-07 00:53:42,11.0,122.67,81.01,70,1,8.12,clear sky,0.0,0.0
