City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Fukue,JP,2020-04-06 00:21:02,32.69,128.84,55.4,47,0,5.82
152,Margate,GB,2020-04-06 00:21:02,51.38,1.39,57.0,54,0,11.41
153,East London,ZA,2020-04-06 00:21:02,-33.02,27.91,68.68,74,100,13.22
154,Kapaa,US,2020-04-06 00:18:20,22.08,-159.32,80.6,74,1,13.87
155,Juneau,US,2020-04-06 00:21:02,58.3,-134.42,41.0,52,90,8.05
156,Xuddur,SO,2020-04-06 00:21:02,4.12,43.89,76.01,64,20,14.03
157,Benjamin Constant,BR,2020-04-06 00:21:03,-4.38,-70.03,77.0,100,40,0.85
158,Pangai,TO,2020-04-06 00:21:03,-19.8,-174.35,82.4,69,75,11.41
159,Korla,CN,2020-04-06 00:21:03,41.76,86.15,51.01,49,0,4.12
160,Adrar,MR,2020-04-06 00:21:03,20.5,-10.07,77.95,21,0,9.93
161,Mapiripan,CO,2020-04-06 00:21:03,2.89,-72.13,79.23,76,92,0.78
162,Kemijarvi,FI,2020-04-06 00:21:03,66.71,27.43,14.02,91,8,4.38
163,Flin Flon,CA,2020-04-06 00:21:03,54.77,-101.86,28.4,33,20,5.82
164,Mar Del Plata,AR,2020-04-06 00:21:03,-38.0,-57.56,66.99,77,81,9.66
165,Ilulissat,GL,2020-04-06 00:21:03,69.22,-51.1,15.8,31,0,24.16
166,Kasongo-Lunda,CD,2020-04-06 00:21:04,-6.47,16.82,72.21,77,97,0.47
167,Poum,NC,2020-04-06 00:21:04,-20.23,164.02,80.33,75,100,18.81
168,Paamiut,GL,2020-04-06 00:21:04,61.99,-49.67,26.01,89,100,7.74
169,Vilyuysk,RU,2020-04-06 00:21:04,63.76,121.62,30.42,97,83,11.01
170,Nome,US,2020-04-06 00:20:55,64.5,-165.41,10.4,85,90,31.09
171,Ponta Delgada,PT,2020-04-06 00:21:04,37.73,-25.67,57.2,93,75,3.36
172,Port Blair,IN,2020-04-06 00:21:04,11.67,92.75,81.59,74,66,8.88
173,Lagoa,PT,2020-04-06 00:21:05,39.05,-27.98,57.6,82,98,13.69
174,Kenai,US,2020-04-06 00:21:05,60.55,-151.26,39.99,59,1,20.8
175,Northam,GB,2020-04-06 00:21:05,51.03,-4.22,57.0,94,98,11.99
176,Cap Malheureux,MU,2020-04-06 00:21:05,-19.98,57.61,78.8,74,40,9.17
177,College,US,2020-04-06 00:21:05,64.86,-147.8,35.6,37,75,16.11
178,Cabo San Lucas,MX,2020-04-06 00:21:05,22.89,-109.91,82.0,29,40,5.82
179,Ostrovnoy,RU,2020-04-06 00:20:56,68.05,39.51,22.53,95,81,21.23
180,Garowe,SO,2020-04-06 00:21:05,8.41,48.48,73.26,68,0,9.69
181,Castro,BR,2020-04-06 00:21:05,-24.79,-50.01,60.98,61,10,2.77
182,Haines Junction,CA,2020-04-06 00:21:06,60.75,-137.51,30.81,72,76,9.1
183,Egvekinot,RU,2020-04-06 00:21:06,66.32,-179.17,4.6,83,100,5.82
184,Gornopravdinsk,RU,2020-04-06 00:21:06,60.05,69.9,35.49,95,100,8.23
185,Vila Velha,BR,2020-04-06 00:18:59,-20.33,-40.29,77.0,73,75,5.82
186,Humaita,BR,2020-04-06 00:21:06,-7.51,-63.02,78.85,84,99,2.26
187,Mount Gambier,AU,2020-04-06 00:21:06,-37.83,140.77,55.4,82,90,3.36
188,Nampa,US,2020-04-06 00:21:06,43.54,-116.56,60.8,66,1,10.29
189,Baherden,TM,2020-04-06 00:18:03,38.44,57.43,54.7,68,98,4.7
190,Kaitangata,NZ,2020-04-06 00:21:06,-46.28,169.85,57.99,90,100,1.99
191,Pangody,RU,2020-04-06 00:21:06,65.85,74.49,31.93,97,100,3.51
192,Kloulklubed,PW,2020-04-06 00:21:07,7.04,134.26,84.2,66,40,9.17
193,Ormara,PK,2020-04-06 00:21:07,25.21,64.64,78.1,55,0,5.77
194,Yakovlevka,RU,2020-04-06 00:21:07,44.42,133.48,38.41,68,4,9.28
195,Harper,LR,2020-04-06 00:21:07,4.38,-7.72,82.44,82,64,8.12
196,Hitoyoshi,JP,2020-04-06 00:21:07,32.22,130.75,53.6,50,20,8.05
197,Otacilio Costa,BR,2020-04-06 00:21:07,-27.48,-50.12,58.77,70,19,3.78
198,Plaster Rock,CA,2020-04-06 00:21:07,46.91,-67.39,46.4,65,90,3.36
199,Nador,MA,2020-04-06 00:21:07,35.17,-2.93,57.2,87,91,3.36
200,Flinders,AU,2020-04-06 00:21:07,-34.58,150.86,70.0,49,75,11.41
201,Grindavik,IS,2020-04-06 00:21:07,63.84,-22.43,42.8,86,90,21.92
202,Adrian,US,2020-04-06 00:18:19,41.9,-84.04,54.0,57,1,6.93
203,Vestmannaeyjar,IS,2020-04-06 00:21:08,63.44,-20.27,45.86,93,100,30.6
204,Rocha,UY,2020-04-06 00:18:26,-34.48,-54.33,67.37,64,100,4.74
205,San Cristobal,VE,2020-04-06 00:18:44,7.77,-72.22,87.8,62,40,9.17
206,Dauphin,CA,2020-04-06 00:21:08,51.15,-100.05,30.2,74,1,8.05
207,Codrington,AU,2020-04-06 00:21:08,-38.27,141.97,57.09,61,37,6.82
208,Sasina,BA,2020-04-06 00:21:08,44.8,16.74,41.0,75,1,2.24
209,Longyearbyen,SJ,2020-04-06 00:17:14,78.22,15.64,-0.4,77,20,3.36
210,Lerwick,GB,2020-04-06 00:21:09,60.15,-1.15,48.2,81,100,28.86
211,Kangaatsiaq,GL,2020-04-06 00:21:09,68.31,-53.46,18.34,85,0,25.43
212,Tessalit,ML,2020-04-06 00:21:09,20.2,1.01,77.61,13,0,8.37
213,Champerico,GT,2020-04-06 00:21:09,14.3,-91.92,85.42,64,3,10.11
214,Jardim,BR,2020-04-06 00:17:42,-21.48,-56.14,79.72,63,16,4.63
215,Iqaluit,CA,2020-04-06 00:21:09,63.75,-68.51,1.4,70,40,16.11
216,Waingapu,ID,2020-04-06 00:21:09,-9.66,120.26,82.49,71,64,1.63
217,Vila Franca Do Campo,PT,2020-04-06 00:21:10,37.72,-25.43,57.2,93,75,3.36
218,Katangli,RU,2020-04-06 00:21:10,51.71,143.23,29.82,98,93,10.71
219,Dudinka,RU,2020-04-06 00:21:10,69.41,86.18,30.2,100,75,17.9
220,Roslavl,RU,2020-04-06 00:21:10,53.95,32.86,31.42,84,24,6.38
221,Kavieng,PG,2020-04-06 00:21:10,-2.57,150.8,83.59,73,75,8.63
222,Vao,NC,2020-04-06 00:21:10,-22.67,167.48,77.2,77,100,19.57
223,Esperance,AU,2020-04-06 00:21:09,-33.87,121.9,59.0,77,90,9.17
224,Znamenskoye,RU,2020-04-06 00:21:11,57.13,73.83,36.16,95,100,7.38
225,San,ML,2020-04-06 00:21:11,13.3,-4.9,87.39,12,0,1.95
226,Ridgecrest,US,2020-04-06 00:21:11,35.62,-117.67,59.0,47,1,26.4
227,Basco,PH,2020-04-06 00:21:11,20.45,121.97,76.08,84,60,21.81
228,Nizhniy Tsasuchey,RU,2020-04-06 00:21:12,50.52,115.13,31.35,59,0,8.77
229,Pevek,RU,2020-04-06 00:21:12,69.7,170.31,-4.49,90,87,7.05
230,Carutapera,BR,2020-04-06 00:17:01,-1.2,-46.02,80.56,86,94,10.63
231,West Bend,US,2020-04-06 00:21:12,43.43,-88.18,53.01,22,1,4.7
232,Daru,PG,2020-04-06 00:21:12,-9.08,143.21,83.41,70,61,8.99
233,Gaoual,GN,2020-04-06 00:21:12,11.75,-13.2,79.07,53,0,5.88
234,Bantva,IN,2020-04-06 00:21:13,21.49,70.07,74.55,60,0,6.11
235,Sorong,ID,2020-04-06 00:21:13,-0.88,131.25,82.0,82,42,2.51
236,Havoysund,NO,2020-04-06 00:21:13,71.0,24.66,24.8,79,20,12.75
237,Gilgit,PK,2020-04-06 00:21:13,35.92,74.31,48.15,25,96,1.54
238,Gualdo Tadino,IT,2020-04-06 00:21:13,43.23,12.78,52.0,70,22,8.05
239,Samfya,ZM,2020-04-06 00:21:13,-11.36,29.56,62.51,63,18,3.44
