,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Icatu,BR,80.6,few clouds,-2.78,-44.07,Hotel Guaxenduba
390,San Patricio,MX,86.0,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
392,Merauke,ID,83.08,light rain,-8.47,140.33,
397,Coro,VE,79.79,overcast clouds,11.4,-69.67,Federal
399,Pasuruan,ID,82.02,light rain,-7.65,112.91,Pasuruan Hotel
400,Dingle,PH,80.11,broken clouds,11.0,122.67,Camp Pasica
405,Kahului,US,80.6,moderate rain,20.89,-156.47,Maui Seaside Hotel
408,Sur,OM,85.44,clear sky,22.57,59.53,Sur Plaza Hotel
410,Kroya,ID,80.55,light rain,-7.63,109.25,RUSTANTO Fam
412,Kovur,IN,77.59,scattered clouds,14.48,79.98,Pleasant Stay
413,Phan Thiet,VN,78.64,scattered clouds,10.93,108.1,Hotel Saigon-PT
419,Sai Buri,TH,77.0,few clouds,6.7,101.62,หอพักนักเรียนหญิงโรงเรียนสายบุรีอิสลามวิทยา
424,Port Macquarie,AU,75.0,clear sky,-31.43,152.92,Rydges Port Macquarie
428,Cabo San Lucas,MX,82.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
441,Huarmey,PE,75.74,few clouds,-10.07,-78.15,Hotel Miramar
443,Bima,ID,81.72,overcast clouds,-8.47,118.72,Lambitu Hotel
448,Pilar,BR,78.8,scattered clouds,-9.6,-35.96,Pousada Manguaba
452,Pangkalanbuun,ID,79.43,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
453,Oroquieta,PH,81.32,broken clouds,8.49,123.8,Daminar Riverside and Garden
455,Boundiali,CI,85.71,scattered clouds,9.52,-6.49,Hotel Paysan Boundiali
457,Koungou,YT,80.6,few clouds,-12.73,45.2,Villa Netibor
462,Nabire,ID,85.32,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
466,Kinablangan,PH,81.48,light rain,7.69,126.55,Mainit Balete Hot Spring
474,Durango,MX,77.67,overcast clouds,24.83,-104.83,
476,Tierralta,CO,81.0,light rain,8.17,-76.06,montevideo
480,Goundam,ML,85.42,clear sky,16.41,-3.67,
486,Cockburn Town,TC,75.92,clear sky,21.46,-71.14,Osprey Beach Hotel
488,Tenenkou,ML,85.21,clear sky,14.46,-4.92,
493,Tecoanapa,MX,82.96,clear sky,16.52,-98.75,Hotel Manglares
498,Madison,US,75.2,clear sky,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
501,Dangriga,BZ,82.4,few clouds,16.97,-88.23,Chaleanor Hotel
502,Kolokani,ML,87.24,clear sky,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
505,Dwarka,IN,77.79,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
507,Ouegoa,NC,82.83,overcast clouds,-20.35,164.43,
509,Boulsa,BF,86.95,few clouds,12.67,-0.58,Boulsa tintin
511,Aquiraz,BR,84.0,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
519,Haapiti,PF,87.8,light rain,-17.57,-149.87,Linareva Moorea Beach Resort
521,Limon,CR,84.2,broken clouds,10.0,-83.03,Hotel Playa Bonita
523,Mogadishu,SO,82.18,scattered clouds,2.04,45.34,Hotel Juba
524,Mitsamiouli,KM,83.26,broken clouds,-11.38,43.28,Foyer ADM
527,Pochutla,MX,84.2,scattered clouds,15.74,-96.47,Hotel Posada San Jose
528,Kiunga,PG,84.06,light rain,-6.12,141.29,Airport Lodge Kiunga
535,Nabisar,PK,77.81,clear sky,25.07,69.64,Dhani Parto Dars
540,Bairiki,KI,84.2,broken clouds,1.33,172.98,Tarawa Boutique Hotel
541,Barao De Melgaco,BR,82.4,light rain,-16.19,-55.97,Tuiuiu Pantanal Hotel
543,Waingapu,ID,82.49,broken clouds,-9.66,120.26,Pondok Wisata Elim
545,Poum,NC,80.33,overcast clouds,-20.23,164.02,Gîte kajeon
554,Kendari,ID,80.78,scattered clouds,-3.94,122.5,Hotel Wixel
556,Auki,SB,82.76,light rain,-8.77,160.7,Auki Motel
